config,dataset,group,filter,loss_mode,train_reduction,test_mean,test_std,test_n,steps,wall_s,converged,per_pair_reductions
level2_affine_backbone_all,level_1_vs_level_2,backbone.all,affine_6param,,0.0332,0.0352,0.0169,6,1872,74.5,True,0.0506;0.0326;0.0306;0.0342;0.0049;0.0584
level2_affine_backbone_all_proj,level_1_vs_level_2,backbone.all+proj,affine_6param,,0.0380,0.0385,0.0188,6,1872,75.0,True,0.0555;0.0325;0.0302;0.0390;0.0076;0.0660
level2_affine_backbone_early,level_1_vs_level_2,backbone.early,affine_6param,,0.0322,0.0754,0.0151,6,2592,87.4,True,0.0987;0.0783;0.0688;0.0665;0.0521;0.0878
level2_affine_backbone_early_proj,level_1_vs_level_2,backbone.early+proj,affine_6param,,0.0391,0.0696,0.0214,6,2160,83.0,True,0.1002;0.0629;0.0558;0.0667;0.0382;0.0936
level2_affine_backbone_late,level_1_vs_level_2,backbone.late,affine_6param,,0.0666,0.0783,0.0333,6,2160,80.6,True,0.1068;0.0558;0.0846;0.0430;0.0461;0.1333
level2_affine_backbone_late_proj,level_1_vs_level_2,backbone.late+proj,affine_6param,,0.0824,0.0949,0.0293,6,2592,98.6,True,0.1183;0.0916;0.0667;0.0761;0.0689;0.1475
level2_affine_backbone_mid,level_1_vs_level_2,backbone.mid,affine_6param,,0.0073,0.0087,0.0038,6,1584,62.2,True,0.0092;0.0129;0.0082;0.0090;0.0011;0.0117
level2_affine_backbone_mid_proj,level_1_vs_level_2,backbone.mid+proj,affine_6param,,0.0172,0.0184,0.0109,6,1872,73.6,True,0.0274;0.0186;0.0091;0.0154;0.0035;0.0362
level2_affine_proj_decoder,level_1_vs_level_2,proj+decoder,affine_6param,,0.0361,0.0493,0.0131,6,4320,171.8,True,0.0640;0.0290;0.0417;0.0402;0.0586;0.0625
level2_affine_projector,level_1_vs_level_2,projector,affine_6param,,0.1584,0.2042,0.0655,6,4464,175.6,True,0.2749;0.2022;0.0914;0.1878;0.1804;0.2888
level2_brightness_backbone_all,level_1_vs_level_2,backbone.all,brightness_2param,,0.0099,0.0160,0.0129,6,1584,65.7,True,0.0286;0.0108;0.0131;0.0083;-0.0017;0.0368
level2_brightness_backbone_all_proj,level_1_vs_level_2,backbone.all+proj,brightness_2param,,0.0117,0.0184,0.0143,6,1584,65.8,True,0.0324;0.0115;0.0132;0.0109;0.0000;0.0423
level2_brightness_backbone_early,level_1_vs_level_2,backbone.early,brightness_2param,,0.0113,0.0477,0.0131,6,2880,99.1,True,0.0646;0.0444;0.0494;0.0399;0.0260;0.0618
level2_brightness_backbone_early_proj,level_1_vs_level_2,backbone.early+proj,brightness_2param,,0.0131,0.0469,0.0157,6,2880,111.5,True,0.0670;0.0408;0.0432;0.0388;0.0239;0.0675
level2_brightness_backbone_late,level_1_vs_level_2,backbone.late,brightness_2param,,0.0381,0.0288,0.0193,6,2016,75.1,True,0.0352;0.0274;0.0222;0.0203;0.0022;0.0657
level2_brightness_backbone_late_proj,level_1_vs_level_2,backbone.late+proj,brightness_2param,,0.0436,0.0385,0.0231,6,1728,66.4,True,0.0488;0.0441;0.0231;0.0260;0.0084;0.0804
level2_brightness_backbone_mid,level_1_vs_level_2,backbone.mid,brightness_2param,,0.0012,-0.0031,0.0026,6,1584,59.9,True,-0.0019;-0.0054;-0.0036;-0.0044;-0.0053;0.0022
level2_brightness_backbone_mid_proj,level_1_vs_level_2,backbone.mid+proj,brightness_2param,,0.0076,-0.0004,0.0080,6,1584,60.0,True,0.0063;-0.0051;-0.0080;-0.0038;-0.0063;0.0142
level2_brightness_proj_decoder,level_1_vs_level_2,proj+decoder,brightness_2param,,0.0197,0.0245,0.0150,6,1728,72.5,True,0.0485;0.0023;0.0250;0.0234;0.0122;0.0357
level2_brightness_projector,level_1_vs_level_2,projector,brightness_2param,,0.0969,0.1232,0.0401,6,1872,78.7,True,0.1518;0.1443;0.0773;0.1200;0.0669;0.1788
level2_ccm_backbone_all,level_1_vs_level_2,backbone.all,ccm_high_order,,0.0418,0.0981,0.0076,6,4464,189.7,True,0.0956;0.1108;0.0857;0.0991;0.0949;0.1023
level2_ccm_backbone_all_proj,level_1_vs_level_2,backbone.all+proj,ccm_high_order,,0.0454,0.1022,0.0104,6,7056,302.5,True,0.0975;0.1165;0.0830;0.1031;0.1040;0.1091
level2_ccm_backbone_early,level_1_vs_level_2,backbone.early,ccm_high_order,,0.0442,0.1239,0.0202,6,4896,201.4,True,0.1463;0.1390;0.1242;0.1217;0.0828;0.1297
level2_ccm_backbone_early_proj,level_1_vs_level_2,backbone.early+proj,ccm_high_order,,0.0522,0.1297,0.0121,6,7056,304.2,True,0.1418;0.1445;0.1133;0.1256;0.1163;0.1368
level2_ccm_backbone_late,level_1_vs_level_2,backbone.late,ccm_high_order,,0.0877,0.1614,0.0197,6,4464,193.5,True,0.1507;0.1792;0.1319;0.1510;0.1916;0.1640
